name,gridid,sector,status_name,product_type,asset_type,logo_url
Mini Royale: Nations,937,Gaming,Active,Game,N/A,https://img.thegrid.id/upload/9cb0a620da7aa892e34a9a32076258049d98db89a07a23077f3fe02d1c259125.png
Aurory,938,Gaming,Active,Game,"Utility, NFT",https://img.thegrid.id/upload/3f6c32474c0b73dd3fe7feebb92a52f5911ee12546567208652481f512da0137.svg
Decimated,939,Gaming,Active,Game,Currency,https://img.thegrid.id/harvest/aab9e3ff2fc515c0e69cdc90445c26610e36e141a69c301dc97568e152e6b3d8.png
Phantom,940,Asset Management,Active,Wallet,N/A,https://img.thegrid.id/upload/538042787549ad0b5d3112e299abbaacd28d7fbd8b061c8b07d95918d80c4049.svg
Firedancer,941,Developer Tooling,Active,N/A,N/A,
Crossmint,942,Developer Tooling,Active,Custody Technology Provider,N/A,https://img.thegrid.id/harvest/ab94d0d7383316272faaf7e6fc67b4f88f314aad8f54e859116c7fb6074fdb46.svg
Figment,943,Developer Tooling,Active,Staking Infra,N/A,https://img.thegrid.id/upload/b388a4d5c4180b579909d5c62468f65b88a38a4e2b231d5683c754df84322bdd.png
Staking Facilities,944,Infrastructure,Active,Liquid Staking,N/A,https://img.thegrid.id/upload/33f76ce478bd4972a8a78483862a0453bd2dc399cbb30a39e23ccd7fcac5f5b8.svg
Everstake,945,Finance,Active,Staking Infra,N/A,https://img.thegrid.id/upload/6b3137c5fb1de078f3e7263c130630d07412dd9354acdb2d101aab050021a316.svg
Ledger,946,Asset Management,Active,Hardware Wallet,N/A,https://img.thegrid.id/harvest/088d1bf639f9a9e3f2ca38cf1ea4c88002c79d6f3e4706868aa3d9f27208109f.svg
Binance,947,Finance,Active,Centralised Exchange,Currency,https://img.thegrid.id/harvest/0dbd0ef33f3d3b0dd3710fc015d8799b3b978762dccc38f3fca1bf2e9e424493.png
Jump Crypto,948,Infrastructure,Active,Node Software,N/A,https://img.thegrid.id/upload/b9ab017b7c285a19f0525ab73be7a82f9933e60ab0d2bde1d1784ede634a9fba.svg
Kraken,949,Finance,Active,Centralised Exchange,N/A,https://img.thegrid.id/upload/fba353b7f250c4a8031a698561adf0f639b1508dea5d7f4cca9cb18be138241c.svg
Luganodes,950,Developer Tooling,Active,Node Software,N/A,https://img.thegrid.id/upload/105b3465cb8a135aa5fdc606c2a736372a8c0abcf7e723b4bb3fdfb42a289277.svg
Stepn,951,Gaming,Active,Game,"NFT, Utility",https://img.thegrid.id/harvest/a5d2fdef1268726d4764a97df9355018f88ef90f1bffc2f0e910143452118880.svg
Bonk,952,Meme,Active,N/A,Memecoin,https://img.thegrid.id/harvest/783fdad33e1b57820bfdee6d498197489def521699ebb71377fd1158c47a1ea6.png
Samoyedcoin,953,Meme,Active,N/A,Memecoin,https://img.thegrid.id/upload/f5a1f4c5b1656ab9b6d8ab702a1f5083371227cf3cf91e1809362cbf561a500f.svg
Claynosaurz,954,NFTs,Active,N/A,NFT,https://img.thegrid.id/upload/9ed10af97008f1ba7e51c95a04f7ee6d366a31739b9615fc26bee2ad08af7aa8.png
Magic Eden,955,NFTs,Active,NFT Marketplace,Governance,https://img.thegrid.id/upload/d28f3adb2cdc594e9b35f26725202ee7b608037a1bea0317176908112b8cfbef.png
SolSea,956,NFTs,Active,NFT Marketplace,N/A,https://img.thegrid.id/upload/13c32fed01cba782c49357211e85b123da9212178d9d85b74fcff2b33ddbdd27.svg
Quekz,957,NFTs,Active,N/A,NFT,https://img.thegrid.id/upload/9e7f83ebed228df6b7a4c572441ff59235c5ccbb9c048234561bfa01864913de.png
Sharky,958,Finance,Active,Decentralised Borrowing & Lending,"Governance, Utility, NFT",https://img.thegrid.id/harvest/84d5b6bef25ba2b306115c138d3998aede9845022899b04a7042a558e9a6a31d.png
Sling,960,Payments,Active,Wallet,N/A,https://img.thegrid.id/upload/a92e9ee766076b5693e76ebc5ac3834ff0a03a1cb0a6f2dbff90bc49e42cfd10.png
PIP,961,Payments,Active,On/Off Ramp,Utility,https://img.thegrid.id/harvest/e553bd083c3ff0ec3bf58d75f67f84723f5c46146559611ec1b89a95c595d51d.svg
Key App,962,Payments,Active,Wallet,N/A,https://img.thegrid.id/harvest/b9e4cb79927e868acc0b595cc458f3662ef35999b023d645159f06ac4f5ac36b.svg
Parcl,963,Finance,Active,RWA Tokenisation Platform,Utility,https://img.thegrid.id/upload/ec0754035b3a9800d293f8fcf9ab9bb44df6fe2a016a297c66c708cea170db30.png
Homebase,964,Finance,Active,RWA Tokenisation Platform,N/A,https://img.thegrid.id/upload/9f733d22af7617af1db45bd5bffb95e9987644b73d564227fc3045109ca0f87d.svg
Maple Finance,967,Finance,Active,Centralised Borrowing & Lending,N/A,https://img.thegrid.id/upload/ba69cf30e72a28c108bc90e2c3e0115d30358eb7b8ca2bbf624c4782b204ddbd.svg
Eclipse,968,Infrastructure,Active,L2,N/A,https://img.thegrid.id/upload/8a1331aa11f5c8b0ab80f4fe5a3ed9a30ebda0cea468b7a6ed626766c5228ed4.svg
Termina,969,Developer Tooling,Announced,Developer Tooling,N/A,https://img.thegrid.id/upload/f70456e9263d9a9a46322e5236ee85ee3fa92b97dfce5c851217a4b90f070879.svg
Mayan Finance,970,Infrastructure,Active,Bridge,N/A,https://img.thegrid.id/upload/69297c8e798b6d0eeb2bed40cea8ae4f6ab8d680d0c5e0358a91e30c39bfd652.svg
Neon EVM,971,Infrastructure,Active,Developer Tooling,Utility,https://img.thegrid.id/upload/fe29acbb213c8777ca72961aafbd3823031b2f64f6f86c428a4f2e241989a186.svg
DRiP Haus,972,Social,Active,NFT Issuance Platform,N/A,https://img.thegrid.id/upload/97c1e89f429cfb1f6945ab25c61d26c4e47a27e1cc6df5f87dd4d7c07f662ee9.svg
DogWifHat,973,Meme,Active,N/A,Memecoin,https://img.thegrid.id/upload/e7b7a94162900fbdf9670ec9f119f9b6573dd96d5eaf2e82618ef292ab8220d6.svg
Grapple,974,Developer Tooling,Active,Launch Pad,N/A,https://img.thegrid.id/upload/f047e37902caf34a47496df416085739ffe64e188fda89913b1124b32ab4e155.svg
MetaDAO,975,Finance,Active,DAO Management Platform,N/A,https://img.thegrid.id/upload/65335b1596dd375fad9fa8e3721e3322c537b7781a080de788e4cf009fdc945f.svg
DUAL Finance,976,Finance,Active,Derivatives ,N/A,https://img.thegrid.id/upload/40b9bebd320004e8e5afe57ca57718a6c24ce64583ef0059391a495920d82b5a.svg
Arcana Markets,977,Finance,Active,Trading Bot,N/A,https://img.thegrid.id/upload/8b7277d16d972dd8e83f03824e7fef5bb2e1ca2ce73c4a3c9118367ca9efa969.svg
Solayer,981,Infrastructure,Active,Liquid Staking,"-, Stablecoin",https://img.thegrid.id/upload/3c529ba68fb1afdfee36ed5563c7c672d43eda94752a87e8f1680c5bca4d54f4.svg
Rome Protocol,982,Infrastructure,Announced,Shared Sequencer,N/A,https://img.thegrid.id/upload/c998b526532cfdca49a6abe89b790cffd7cd9f3708bb61f8784a7032e8bdf7aa.svg
Anza,983,Infrastructure,Active,Developer Tooling,N/A,https://img.thegrid.id/upload/5e8355cb91748e15d2b53d72fd5488756e75329fcc975f9b0ce82f71cfd7b38d.svg
ALL.ART,985,NFTs,Active,NFT Marketplace,Utility,https://img.thegrid.id/upload/aff22595deeb395e1b1a43f9411d06e8804cc33056d46966061f91eb031e626a.svg
Credible Finance,987,Finance,Announced,Decentralised Borrowing & Lending,Governance,https://img.thegrid.id/upload/ac7129ff24e1fb8ca916026ccf4350061ff1959978a9424a3d4be4c630efce7f.png
