name,gridid,sector,product_type,deployment_type,product_ids,url,admin_url,has_main_product,logo_url
ORE,1270,Finance,Node Software,Deployed,22,https://explorer.thegrid.id/profiles/ORE,https://data.thegrid.id/app/dashboard#profile=1270,Yes,https://img.thegrid.id/upload/1d272a77466ea3deff1d1a48e957b1bd9340203ef201ece8263f646a50b70ff9.svg
Moonshot,1271,Asset Management,Wallet,Supported,22,https://explorer.thegrid.id/profiles/Moonshot,https://data.thegrid.id/app/dashboard#profile=1271,Yes,https://img.thegrid.id/upload/6ac176cde8932afe6d9f52b5bd64527ef0ddd6434d6d16ab17fbea1f708bf970.png
SkyTrade,1272,Finance,RWA Tokenisation Platform,Deployed,22,https://explorer.thegrid.id/profiles/SkyTrade,https://data.thegrid.id/app/dashboard#profile=1272,Yes,https://img.thegrid.id/upload/740d0432b36b08c24bc0e204552a95646646ecdb545a07f1700a706d1c15bc57.svg
Sonic,1274,Gaming,L2,Deployed,22,https://explorer.thegrid.id/profiles/sonic,https://data.thegrid.id/app/dashboard#profile=1274,Yes,https://img.thegrid.id/upload/e78fb618c41b84659a09d76e189098702c50d35fa06126b2895324b21b68b4d5.svg
Tether,1275,Payments,Stablecoin Issuance,Supported,22,https://explorer.thegrid.id/profiles/Tether,https://data.thegrid.id/app/dashboard#profile=1275,No,https://img.thegrid.id/harvest/3adf09e0170c3e7d71f97877f4e0276fc55ec5fbc5b3005f00715ebaaaa61c1a.svg
Paxos,1276,Payments,Stablecoin Issuance,Supported,22,https://explorer.thegrid.id/profiles/Paxos,https://data.thegrid.id/app/dashboard#profile=1276,Yes,https://img.thegrid.id/harvest/4a7fe14875bb2fcdf515a36ca880f24fd51a448020bcb08cf3a0efce72b5d90a.svg
Moonwalk,1277,Healthcare,Game,Supported,22,https://explorer.thegrid.id/profiles/Moonwalk,https://data.thegrid.id/app/dashboard#profile=1277,Yes,https://img.thegrid.id/upload/c3ce3c3da2c7651242587a32784fa522275f0d64fadf00375499da78d04cecaf.svg
Etherfuse,1278,Infrastructure,RWA Tokenisation Platform,Deployed,22,https://explorer.thegrid.id/profiles/Etherfuse,https://data.thegrid.id/app/dashboard#profile=1278,Yes,https://img.thegrid.id/upload/44990e32a7f1d914cd00e6a14131b41b2b5630db0cb54810e6c67bde57df7e74.svg
FarmTrack,1280,Finance,RWA Tokenisation Platform,Deployed,22,https://explorer.thegrid.id/profiles/FarmTrack,https://data.thegrid.id/app/dashboard#profile=1280,Yes,https://img.thegrid.id/upload/36643dc027109a4164ef87afbc87142de41daeffea0732494a683fca8eda96e6.svg
Axiom Foundation,1282,Infrastructure,Blockchain Gaming Infrastructure,Deployed,22,https://explorer.thegrid.id/profiles/Axiom_Foundation,https://data.thegrid.id/app/dashboard#profile=1282,Yes,https://img.thegrid.id/upload/ab4412f8a8d2bc196e9717d3aee382671d6b499d090ac57ebc7176946bcfbcc9.svg
The Monaco Protocol,1288,Finance,Prediction Markets,Deployed,22,https://explorer.thegrid.id/profiles/Monaco_Protocol,https://data.thegrid.id/app/dashboard#profile=1288,Yes,https://img.thegrid.id/upload/74ea121d3607c6522f05fdde60f4c0ce23c50a61431afa8074978ebe6277977f.svg
Saros,1289,Finance,Decentralised Exchange,Supported,22,https://explorer.thegrid.id/profiles/Saros,https://data.thegrid.id/app/dashboard#profile=1289,Yes,https://img.thegrid.id/upload/e36d01f896c721579ee933942b85a04feae574b650774cb1474c82b821f7de7c.svg
Andrena,1291,Infrastructure,DePin,Deployed,22,https://explorer.thegrid.id/profiles/Andrena,https://data.thegrid.id/app/dashboard#profile=1291,Yes,https://img.thegrid.id/upload/6c64997291af1f0c54394e157ff90ebc093ec49e9c6a93b380816dc79a5e70ca.svg
Shyft,1292,Developer Tooling,RPC Provider,Supported,22,https://explorer.thegrid.id/profiles/Shyft,https://data.thegrid.id/app/dashboard#profile=1292,Yes,https://img.thegrid.id/upload/49320eb2b913432bac4bd5c2296c53dc74747e87f79c8da0f6f9afdbddd73fe5.svg
Offramp,1293,Payments,On/Off Ramp,Supported,22,https://explorer.thegrid.id/profiles/Offramp,https://data.thegrid.id/app/dashboard#profile=1293,Yes,https://img.thegrid.id/upload/5d4cd897471bfcf511be811b5d260db19c233c098ea4b0db93a1772becb27a8c.svg
